brand_id,name,category_id,updated_at,is_active,store_id
15,Bio Beauty Lab Luxurious Facial Oil Serum 10ml,1,2024-01-16 04:50:55,1,1
15,Bio Beauty Lab Luxurious Facial Oil Serum 5ml,1,2024-01-16 04:50:55,1,1
1,Bio Oil Minyak Perawatan Kulit 25ml,1,2024-01-16 04:50:55,1,1
16,Bioaqua 24K Essence Cream,1,2024-01-16 04:50:55,1,1
16,Bioaqua 24K Gold Body Wash 400ml,1,2024-01-16 04:50:55,1,1
16,Bioaqua Sheetmask Aloe Vera,1,2024-01-16 04:50:55,1,1
16,Bioaqua Sheetmask Apple,1,2024-01-16 04:50:55,1,1
16,Bioaqua Sheetmask Avocado,1,2024-01-16 04:50:55,1,1
16,Bioaqua Sheetmask Blackcurrant,1,2024-01-16 04:50:55,1,1
16,Bioaqua Sheetmask Blueberry,1,2024-01-16 04:50:55,1,1
16,Bioaqua Sheetmask Carrot,1,2024-01-16 04:50:55,1,1
16,Bioaqua Sheetmask Centella ,1,2024-01-16 04:50:55,1,1
16,Bioaqua Sheetmask Chamomile,1,2024-01-16 04:50:55,1,1
16,Bioaqua Sheetmask Cherry,1,2024-01-16 04:50:55,1,1
16,Bioaqua Sheetmask Coconut ,1,2024-01-16 04:50:55,1,1
16,Bioaqua Sheetmask Cucumber,1,2024-01-16 04:50:55,1,1
16,Bioaqua Sheetmask Dragon Fruit,1,2024-01-16 04:50:55,1,1
16,Bioaqua Sheetmask Grape Copper ,1,2024-01-16 04:50:55,1,1
16,Bioaqua Sheetmask Grape Fruit,1,2024-01-16 04:50:55,1,1
16,Bioaqua Sheetmask Honey,1,2024-01-16 04:50:55,1,1
16,Bioaqua Sheetmask Kiwi,1,2024-01-16 04:50:55,1,1
16,Bioaqua Sheetmask Lemon Vit C,1,2024-01-16 04:50:55,1,1
16,Bioaqua Sheetmask Orange ,1,2024-01-16 04:50:55,1,1
16,Bioaqua Sheetmask Papaya,1,2024-01-16 04:50:55,1,1
16,Bioaqua Sheetmask Peach,1,2024-01-16 04:50:55,1,1
16,Bioaqua Sheetmask Pomegranate,1,2024-01-16 04:50:55,1,1
16,Bioaqua Sheetmask Sea Buckthom ,1,2024-01-16 04:50:55,1,1
16,Bioaqua Sheetmask Tomato,1,2024-01-16 04:50:55,1,1
17,Blinkz Soap 60gr,1,2024-01-16 04:50:55,1,1
18,Bloomka Happy Barrier Melted Moisturizer,1,2024-01-16 04:50:55,1,1
19,Breylee Blackhead Mask Step 1 17ml,1,2024-01-16 04:50:55,1,1
19,Breylee Step 2,1,2024-01-16 04:50:55,1,1
19,Breylee Tea Tree Nose Strips,1,2024-01-16 04:50:55,1,1
20,Byout By Nisa Brightening Spot Cream,1,2024-01-16 04:50:55,1,1
20,Byout By Nisa Cream Morning Glowing,1,2024-01-16 04:50:55,1,1
20,Byout By Nisa Cream Wajah Glowing 2 Whitening Super,1,2024-01-16 04:50:55,1,1
20,Byout By Nisa Eye Dark Circle Serum,1,2024-01-16 04:50:55,1,1
20,Byout By Nisa Facial Wash Acne Clear ,1,2024-01-16 04:50:55,1,1
20,Byout By Nisa Facial Wash Brightening Arbutin,1,2024-01-16 04:50:55,1,1
20,Byout By Nisa New Acne Glowing,1,2024-01-16 04:50:55,1,1
20,Byout By Nisa Toner Norml Skin | Brightening Toner,1,2024-01-16 04:50:55,1,1
21,Camille Little Pop Face Mist 100ml,1,2024-01-16 04:50:55,1,1
22,Carasun Solar Smart Uv Protector 30ml,1,2024-01-16 04:50:55,1,1
22,Carasun Solar Smart Uv Protector Sunscreen 8ml,1,2024-01-16 04:50:55,1,1
23,Cetaphil Gentle Skin Cleanser 1000ml,1,2024-01-16 04:50:55,1,1
23,Cetaphil Gentle Skin Cleanser 125ml,1,2024-01-16 04:50:55,1,1
23,Cetaphil Gentle Skin Cleanser 250ml,1,2024-01-16 04:50:55,1,1
23,Cetaphil Gentle Skin Cleanser 500ml,1,2024-01-16 04:50:55,1,1
23,Cetaphil Gentle Skin Cleanser 59ml,1,2024-01-16 04:50:55,1,1
